OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFactor,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,NOTES_SEG,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURREV,OV_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length
26,0006_150.6,1,0.984,1.0276,1.0316,1.0296,670,1743.1,1879.1,2238.0,2269.8,2809.9,5441.0,1771,1910,2274,2307,2856,5529,2400,2600,2900,3000,3500,6200,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,4137.93923677616
27,0006_152.6,1,0.984,1.0276,1.0316,1.0296,-111,2487.3,2650.9,3009.4,3071.7,3663.5,6070.1,2528,2694,3058,3122,3723,6169,2400,2600,2900,3000,3600,6100,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,663.311776810794
28,0006_152.9,1,0.9593,0.9859,1.003,0.99445,-149,3748.8,4066.4,4568.1,4803.4,5462.1,7715.1,3908,4239,4762,5007,5694,8042,3800,4100,4600,4900,5500,7900,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,6136.82469224841
29,0006_155.8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Utah,423.843569913577
30,0006_155.9,1,0.9593,0.9859,1.003,0.99445,1829,3021.6,3439.4,3810.8,4030.5,4954.0,6856.3,3150,3585,3972,4202,5164,7147,5000,5400,5800,6000,7000,9000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,2763.62105557339
31,0006_157.3,1,0.9593,0.9859,1.003,0.99445,1046,3773.1,4354.0,5362.1,5961.9,8028.2,10336.9,3933,4539,5590,6215,8369,10775,5000,5600,6600,7300,9400,12000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,524.249982233037
32,0006_157.6,1,0.9593,0.9859,1.003,0.99445,649,4153.3,4895.0,5944.1,6527.1,8759.2,10971.5,4330,5103,6196,6804,9131,11437,5000,5800,6800,7500,9800,12000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,1928.03909731576
33,0006_158.5,1,1.0918,1.0107,1.0324,1.02155,734,4634.5,7124.2,8645.9,9868.3,14955.3,14119.4,4245,6525,7919,9039,13698,12932,5000,7300,8700,9800,14500,13500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,2375.34279355055
34,0006_159.6,1,1.0924,1.0104,1.0243,1.01735,-887,8298.2,10713.7,12885.0,13967.5,20689.5,20860.2,7596,9807,11795,12786,18939,19096,6700,8900,11000,12000,18000,18000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,474.403382690047
35,0006_159.8,1,1.0924,1.0104,1.0243,1.01735,4217,9219.0,13086.1,14549.3,15536.1,21122.5,21592.6,8439,11979,13319,14222,19336,19766,12500,16000,17500,18500,23500,24000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,934.242349066769
36,0006_160.3,1,1.0918,1.0107,1.0324,1.02155,7017,12979.7,17105.5,19102.8,20366.8,26782.0,27778.8,11888,15667,17497,18654,24530,25443,19000,22500,24500,25500,31500,32500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,522.554232431242
37,0006_173.4,1,1.0946,1.0117,1.0095,1.0106,-10898,49898.7,55729.1,60748.5,66411.1,75073.2,78512.3,45586,50913,55498,60672,68585,71727,34500,40000,44500,50000,57500,61000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,940.051435789378
38,0006_173.7,1,1.0823,1.0094,1.0089,1.00915,-8017,46219.9,46506.4,50783.4,54317.4,63964.7,64926.2,42705,42970,46922,50187,59101,59989,34500,35000,39000,42000,51000,52000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,569.763806077198
39,0006_174.0,1,1.07,1.0071,1.0083,1.0077,-91,34109.0,36013.6,39631.0,42021.4,54469.7,55861.9,31878,33658,37038,39272,50906,52207,32000,33500,37000,39000,51000,52000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,923.35937648857
40,0006_174.4,1,1.0577,1.0047,1.0077,1.0062,-461,34109.0,36013.6,39631.0,42021.4,52514.7,53984.9,32248,34049,37469,39729,49650,51040,32000,33500,37000,39500,49000,50500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,916.143259386781
41,0006_174.9,1,1.0454,1.0024,1.0071,1.00475,4198,21221.2,23630.2,27129.1,29091.1,43122.0,43425.7,20300,22604,25951,27828,41249,41540,24500,27000,30000,32000,45500,45500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,1472.93553702638
42,0006_175.6,1,1.0331,1.0,1.0066,1.0033,3957,21221.2,23630.2,22906.0,24624.2,31959.8,33113.9,20541,22873,22172,23835,30936,32053,24500,27000,26000,28000,35000,36000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,1160.01428356961
43,0006_176.1,1,1.0208,0.9977,1.006,1.00185,11281,13492.2,15080.5,16702.7,17840.1,20901.2,23542.1,13217,14773,16362,17477,20475,23062,24500,26000,27500,29000,32000,34500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,1894.68854212384
44,0006_177.0,1,1.0085,0.9953,1.0054,1.00035,8426,16209.0,17885.4,19490.9,20807.7,23516.1,27268.0,16072,17735,19327,20632,23318,27038,24500,26000,28000,29000,31500,35500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,408.183501431462
45,0006_177.2,1,0.9962,0.993,1.0048,0.9989,-2703,15808.8,18403.0,19952.4,21087.2,24338.9,28349.6,15869,18473,20029,21168,24432,28458,13000,16000,17500,18500,21500,26000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,667.3882847454
46,0006_177.5,1,0.9839,0.9906,1.0042,0.9974,1192,11781.0,13712.2,14561.0,15666.3,19083.1,24006.5,11974,13937,14799,15923,19395,24399,13000,15000,16000,17000,20500,25500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,911.234809432325
47,0006_177.9,1,0.9716,0.9883,1.0036,0.99595,-1183,12856.0,13944.2,14421.6,15346.3,16906.0,19101.4,13232,14352,14843,15795,17400,19660,12000,13000,13500,14500,16000,18500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,1898.22462192014
48,0006_178.8,1,0.9593,0.9859,1.003,0.99445,-1352,12856.0,13577.0,13888.0,14712.0,15778.0,17016.0,13401,14153,14477,15336,16447,17738,12000,13000,13000,14000,15000,16500,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,5807.59804054243
49,0006_181.6,1,0.9593,0.9859,1.003,0.99445,-629,12162.0,12870.0,13142.0,14003.0,15011.0,16224.0,12678,13416,13700,14597,15648,16912,12000,13000,13000,14000,15000,16500,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,5280.68094626635
50,0006_184.1,1,0.9593,0.9859,1.003,0.99445,-259,11807.0,12510.0,12782.0,13650.0,14582.0,15804.0,12308,13041,13324,14229,15201,16475,12000,13000,13000,14000,15000,16000,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,7064.65558923368
51,0006_187.5,1,0.9593,0.9859,1.003,0.99445,651,8467.0,8939.0,9027.0,9629.0,9990.0,10745.0,8826,9318,9410,10038,10414,11201,9500,10000,10000,10500,11000,12000,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,15358.2471911397
52,0006_194.8,1,0.9593,0.9859,1.003,0.99445,679,8373.0,8829.0,8898.6,9488.8,9836.4,10563.7,8728,9204,9276,9891,10254,11012,9400,9900,10000,10500,11000,11500,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,18543.1667091864
53,0006_203.6,1,0.9593,0.9859,1.003,0.99445,816,8241.0,8686.0,8732.0,9315.0,9653.0,10349.0,8591,9055,9102,9710,10063,10788,9400,9900,9900,10500,11000,11500,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,15834.2025272317
54,0006_211.2,1,0.9593,0.9859,1.003,0.99445,623,8241.0,8686.0,8732.0,9315.0,9653.0,10349.0,8591,9055,9102,9710,10063,10788,9200,9700,9700,10500,10500,11500,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,10555.0495247983
55,0006_216.2,1,0.9593,0.9859,1.003,0.99445,364,7357.0,7747.0,7965.0,8289.0,8729.0,9208.0,7669,8076,8303,8641,9099,9599,8000,8400,8700,9000,9500,10000,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,10253.6844197594
56,0006_221.1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Utah,2140.28587340764
57,0006_222.1,0,0.9593,0.9859,1.003,0.99445,1309,6450.2,6855.0,6937.6,7531.8,8468.2,9721.9,6724,7146,7232,7851,8827,10134,8000,8500,8500,9200,10000,11500,7,UDOT,UDOT,,0.0,0,0,500,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,4612.12223004808
58,0006_224.3,0,0.9593,0.9859,1.003,0.99445,1620,6152.2,6537.0,6622.7,7184.3,8066.2,9251.3,6413,6814,6904,7489,8408,9644,8000,8400,8500,9100,10000,11500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,11938.411320566
59,0006_230.0,0,1.0918,1.0107,1.0324,1.02155,3466,7493.0,7951.4,8421.7,8993.3,10195.8,11622.8,6863,7283,7714,8237,9339,10646,10500,10500,11000,11500,13000,14000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,3630.54057131507
60,0006_231.7,0,1.0918,1.0107,1.0324,1.02155,3087,7907.2,8388.0,8882.3,9466.9,10656.7,12145.2,7242,7683,8135,8671,9761,11124,10500,11000,11000,12000,13000,14000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,1433.25042472575
61,0006_232.4,0,1.0918,1.0107,1.0324,1.02155,3182,7802.9,8274.3,8760.7,9340.3,10526.8,12000.9,7147,7579,8024,8555,9642,10992,10500,11000,11000,11500,13000,14000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,286.126844625964
62,0006_232.5,0,1.0918,1.0107,1.0324,1.02155,2613,7802.9,8274.3,8760.7,9340.3,10526.8,12000.9,7147,7579,8024,8555,9642,10992,9800,10000,10500,11000,12500,13500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,328.913728102414
63,0006_232.7,0,1.0918,1.0107,1.0324,1.02155,8332,6146.3,6428.1,6718.2,7043.7,7718.9,8610.9,5630,5888,6153,6451,7070,7887,14000,14000,14500,15000,15500,16000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,1399.30381632034
64,0006_233.3,0,1.0918,1.0107,1.0324,1.02155,8741,5976.8,6233.9,6495.4,6772.9,7371.5,8207.5,5474,5710,5949,6203,6752,7517,14000,14500,14500,15000,15500,16500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,4484.42229201492
65,0006_235.4,0,1.0918,1.0107,1.0324,1.02155,8443,6302.0,6565.9,6807.5,7077.3,7677.4,8510.7,5772,6014,6235,6482,7032,7795,14000,14500,14500,15000,15500,16000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,772.774895707586
66,0006_235.8,0,1.012,0.9654,1.0162,0.9908,5577,7529.6,7809.5,8067.7,8333.2,8923.4,9799.4,7440,7717,7972,8234,8818,9683,13000,13500,13500,14000,14500,15500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,895.105717113654
67,0006_236.2,0,1.012,0.9654,1.0162,0.9908,4358,8659.4,9171.1,9639.5,10179.7,11358.0,12843.6,8557,9062,9525,10059,11223,12691,13000,13500,14000,14500,15500,17000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,6907.32941921825
68,0006_239.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Carbon,782.323389462066
69,0006_239.9,0,1.0918,1.0107,1.0324,1.02155,2978,9676.0,10201.5,10673.8,11208.8,12346.2,13934.6,8862,9344,9776,10266,11308,12763,12000,12500,13000,13000,14500,15500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,2601.9171603779
70,0006_241.2,0,1.0918,1.0107,1.0324,1.02155,6132,7557.7,8108.2,8480.1,8799.9,9710.9,10964.1,6922,7426,7767,8060,8894,10042,13000,13500,14000,14000,15000,16000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,2742.76570998172
71,0006_242.5,0,0.9593,0.9859,1.003,0.99445,-2418,12737.2,13296.4,13691.5,13973.4,14877.5,16464.3,13278,13861,14272,14566,15509,17163,11000,11500,12000,12000,13000,14500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,1774.4360368214
72,0006_243.3,0,0.9593,0.9859,1.003,0.99445,-360,10763.6,11269.7,11600.2,11879.6,12788.7,14267.7,11220,11748,12092,12384,13331,14873,11000,11500,11500,12000,13000,14500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,6691.59673938188
73,0006_246.5,0,1.0918,1.0107,1.0324,1.02155,-527,10438.4,10915.5,11234.1,11504.8,12406.0,13845.0,9561,9998,10290,10537,11363,12681,9000,9500,9800,10000,11000,12000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,686.746515019354
74,0006_246.9,0,1.0918,1.0107,1.0324,1.02155,884,8898.4,9352.3,9546.7,9852.1,10756.1,12135.3,8150,8566,8744,9024,9852,11115,9000,9400,9600,9900,10500,12000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,174.660966965594
75,0006_246.94,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Carbon,4557.03432230272
76,0006_249.1,0,0.9593,0.9859,1.003,0.99445,-498,9144.0,9589.7,9664.9,9958.0,10891.5,12268.0,9532,9997,10075,10380,11354,12788,9000,9500,9600,9900,11000,12500,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,545.039599154288
77,0006_249.4,0,0.9593,0.9859,1.003,0.99445,-1401,8553.5,8990.3,9182.3,9519.3,10453.1,11819.0,8916,9372,9572,9923,10897,12320,7500,8000,8200,8500,9500,11000,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Carbon,13960.0200173257
