SEGID,AADT1981,AADT1982,AADT1983,AADT1984,AADT1985,AADT1986,AADT1987,AADT1988,AADT1989,AADT1990,AADT1991,AADT1992,AADT1993,AADT1994,AADT1995,AADT1996,AADT1997,AADT1998,AADT1999,AADT2000,AADT2001,AADT2002,AADT2003,AADT2004,AADT2005,AADT2006,AADT2007,AADT2008,AADT2009,AADT2010,AADT2011,AADT2012,AADT2013,AADT2014,AADT2015,AADT2016,AADT2017,AADT2018,AADT2019,AADT2020,AADT2021
0089_352.0,5930,5930,6000,6120,6375,6475,6575,6500,6530,7930,7910,8260,8335,9145,8775,9825,9825,9945,10760,10329,10400,11100,10110,10175,10145,13650,13840,13165,13085,13030,12995,12735,12415,12550,13090,13786,14158,14300,14557,12999,14091
0089_352.2,5930,5930,6000,6120,6375,6475,6575,6500,6530,7930,7910,8260,8335,9145,8775,9825,9825,9945,10760,10329,10400,11100,10110,10175,10145,17335,17580,16165,16070,15835,15785,15470,15085,15250,15905,16748,17200,17372,17685,15793,17120
0089_362.5,7535,7650,7725,8000,9330,10000,10670,,16035,16695,16785,17525,17680,18555,18205,19000,20770,22095,23199,18355,21250,20825,10070,10130,26875,28055,17010,16180,16080,16015,15970,13760,13415,13565,14145,14897,15299,15944,16231,14494,15711
0089_363.3,7535,7650,7725,8000,9330,10000,10670,,16035,16695,16785,17525,17680,18555,18205,19000,20770,22095,23199,18355,21250,20825,10070,10130,26875,28055,17010,16180,16080,16015,15970,13760,13415,13565,14145,14897,15299,15944,16231,14494,15711
0089_363.8,7535,7650,7725,8000,9330,10000,10670,,16035,16695,16785,17525,17680,18555,18205,24330,26595,28290,31967,30192,26888,26350,24585,24735,27020,28215,28610,27210,27045,26935,26855,26320,25660,25945,27060,28493,29262,29555,30087,26868,29125
0089_364.3,7535,7650,7725,8000,9330,10000,10670,,16035,16695,16785,17525,17680,18555,18205,24330,26595,28290,31967,30192,26888,26350,24585,24735,27020,28215,28610,27210,27045,26935,26855,26320,25660,25945,27060,28493,29262,29555,30087,26868,29125
0089_364.8,11305,11475,11600,15300,16150,16775,17400,17685,18550,19310,19260,19260,19430,20390,19990,29660,30704,32665,40070,38295,32390,31725,30665,29640,33230,32765,33225,31595,28285,31255,28890,27010,28085,30135,31430,33097,33991,34331,34949,31209,33831
0089_365.5,11305,11475,11600,15300,16150,16775,17400,17685,18550,19310,19260,19260,19430,20390,19990,29660,30704,32665,40070,38295,32390,31725,30665,29640,33230,32765,33225,31595,28285,31255,28890,27010,28085,30135,31430,33097,33991,34331,34949,31209,33831
0089_366.3,18000,18270,18475,19150,20025,20650,21275,21785,21060,21925,21870,20755,20940,21975,20990,22425,24515,26080,31817,31570,24495,22605,22605,22740,22670,23115,23440,22290,22155,22065,22000,21560,21020,21255,22165,23342,23972,24212,24648,22011,23860
0089_366.8,18500,18500,18700,19380,20250,20880,21510,22025,21440,22320,21355,22295,22490,23430,23875,24590,26880,28595,34885,34610,27891,23335,23335,23475,23400,24435,24775,23565,23420,23330,22205,21765,21220,21450,22375,23560,24196,24438,24878,22216,24082
0089_367.2,20100,20100,20325,21000,21950,22635,23040,23595,21235,22105,22050,23020,24070,25260,25735,26010,28430,30245,37850,37555,30836,28455,28455,28625,28535,23200,23525,22370,22240,22150,22680,22225,21670,21905,22850,24059,24709,24956,25405,22687,24593
0089_368.0,23300,23300,23560,24235,25350,26140,26930,27870,20335,22050,21995,21745,23485,24650,22610,22610,24715,26272,26272,26065,31078,28675,28675,28850,28760,23390,23715,22555,22420,22330,22265,21820,21275,21505,22430,23621,24259,24502,24943,22274,24145
0089_368.4,25125,25275,25560,26235,27350,28200,29050,30500,28960,30120,30040,31360,35310,37055,37755,36620,40030,42585,41382,41060,31320,28900,28900,29075,28985,23565,23895,22725,22590,26080,26000,25480,29365,29685,30960,32603,33483,33818,34427,30743,33325
0089_369.0,24880,25025,25450,26100,26850,27690,28160,30975,29415,30590,30510,31850,32130,33720,33720,33215,36305,38620,37770,37475,29980,25970,25970,26130,26050,27460,27845,26480,26320,26215,27770,27215,26535,26825,27980,29464,30260,30563,31113,27784,30118
0089_369.8,24200,24345,24775,25800,26550,27380,28210,31600,30005,31235,31155,32525,32810,36220,35135,35135,37685,41453,40610,40290,31135,28730,28730,28905,28815,30090,29695,28240,28070,27960,27875,27320,26635,26930,28085,29575,30374,30678,31230,27888,30231
0089_369.9,24100,24245,24675,25200,25930,26740,27550,41130,32900,34215,33525,34995,35300,36220,35135,35135,37685,41453,40610,40290,31135,28730,28730,27715,27625,36825,37340,35510,35300,35155,35050,34350,32675,33035,34455,36279,37259,37632,38309,34210,37084
0089_370.6,29500,29800,30230,30850,31525,32510,33495,36850,29355,30560,30480,32280,32565,34175,31545,31880,34845,40310,39490,39180,31344,28920,28920,26670,26585,35425,35920,34160,33955,33820,34145,33460,32625,32985,34400,36224,37202,37574,38250,34157,37026
0089_371.0,29500,29800,30230,30850,31525,32510,33495,36850,29355,30560,30480,32280,32565,34175,31545,31880,34845,40310,39490,39180,31344,28920,28920,26670,26585,35425,35920,34160,33955,33820,34145,33460,32625,32985,34400,36224,37202,37574,38250,34157,37026
0089_371.5,30860,31000,31450,32100,32775,33800,34825,36320,33375,34745,34655,33700,33995,35675,31890,32230,35230,41020,40185,39870,31896,27405,27405,27570,27485,28700,30400,28910,28740,28625,28540,27965,27270,27570,28755,30277,31094,31405,31970,28549,30947
0089_372.0,30860,31000,31450,32100,32775,33800,34825,36320,33375,34745,34655,33700,33995,35675,31890,32230,35230,41020,40185,39870,31896,27405,27405,27570,27485,28700,30400,28910,28740,28625,28540,27965,27270,27570,28755,30277,31094,31405,31970,28549,30947
0089_372.2,33000,33150,33635,34300,34925,35625,36325,37885,34155,35520,35430,34720,35025,36760,33085,33435,36545,41661,40827,40505,32404,29900,29900,30080,29985,31305,31745,30190,30005,29885,32695,32045,31240,31585,32945,34690,35627,35983,36631,32711,35459
0089_372.6,33000,33150,33635,34300,34925,35625,36325,37885,34155,35520,35430,34720,35025,36760,33085,33435,36545,41661,40827,40505,32404,29900,29900,30080,29985,31305,31745,30190,30005,29885,32695,32045,31240,31585,32945,34690,35627,35983,36631,32711,35459
0089_372.7,33335,33475,33965,35000,35675,36210,36800,38380,33665,35045,34955,34255,34555,36265,31115,31445,34370,38630,37845,37550,30040,27720,27720,27890,27800,38830,39375,37445,37220,37070,30060,29460,28725,29040,30290,31894,32755,33083,33678,30074,32600
0089_373.6,34340,34250,34750,36250,36950,37195,37540,39185,33310,34675,34585,33895,34190,35880,29685,30000,32795,37615,35415,35140,28112,25940,27485,27775,27685,31185,31620,30075,29895,29775,27425,26875,26500,26790,27940,29422,30216,30518,31067,27743,30073
0089_374.5,32450,32250,32750,37400,37700,37500,37800,38745,32935,34285,34195,34195,34495,36185,33300,33285,36280,43722,40722,40405,32324,29825,29825,30005,29915,28795,29200,27765,27600,27490,24035,23555,22965,23220,24220,25502,27872,28151,28658,25592,27742
0089_375.3,29850,29625,30125,38970,39300,38985,39300,39890,33905,35295,35205,35205,36260,38055,38055,38055,41595,51431,46431,44100,37055,34190,34190,34395,34285,35795,36295,34520,34310,34175,34070,33390,32555,32915,34330,36147,37123,37494,38169,34085,36948
0089_375.7,32585,32360,33465,40370,40700,40375,40700,41110,34610,38075,37975,38015,38510,40415,41180,41615,44528,58500,54500,50000,40000,34035,34035,34240,34130,33420,33890,33040,32845,32710,32615,31960,33665,34035,35500,37380,32510,32835,33426,29849,32356
0089_376.2,29960,29735,30750,30750,31000,30750,31055,31365,27290,28410,28125,29360,29620,30795,31375,31710,33929,39518,36518,37485,30737,28360,28360,28530,28440,29700,29405,28670,27435,26640,26345,26530,26395,26210,26945,28671,28853,29228,30339,24939,27957
0089_376.8,27015,26780,28000,28000,28225,27725,27975,28255,27530,28660,28375,29620,29880,30445,31200,31635,33881,38963,35963,35243,29700,27175,26359,26520,26235,27390,27115,26440,25300,24565,24270,24440,24320,24150,24825,26415,26600,28666,29755,24459,27419
0089_377.3,28890,28725,29750,29550,29790,29230,29480,29760,28935,30125,29880,30455,30860,32220,33830,34460,36940,42481,40722,37000,30160,26890,26040,25840,23985,24600,24355,23735,22720,22055,21800,21945,21830,21675,22280,23720,23882,24187,25110,20640,23139
0089_377.9,28890,28725,29750,29550,29790,29230,29480,29760,28935,30125,29880,30455,30860,32220,33830,34460,36940,42481,40722,37000,30160,26890,26040,25840,23985,24600,24355,23735,22720,22055,21800,21945,21830,21675,22280,23720,23882,24187,25110,20640,23139
0089_378.0,27600,27360,28335,28115,28350,27800,28050,32515,31615,31640,31685,32295,33580,35065,36820,36820,33397,35385,34323,34055,27103,24170,23405,23230,21560,22120,23415,22830,21850,21215,20960,21105,21000,20855,21440,22810,35517,35979,37346,30698,34412
0089_378.3,27600,27360,28335,28115,28350,27800,28050,32515,31615,31640,31685,32295,33580,35065,36820,36820,33397,35385,34323,34055,27103,24170,23405,23230,21560,22120,23415,22830,21850,21215,20960,21105,21000,20855,21440,22810,35517,35979,37346,30698,34412
0089_378.5,27600,27360,28335,28115,28350,27800,28050,32515,31615,31640,31685,32295,33580,35065,36820,36820,33397,35385,34323,34055,27103,24170,23405,23230,21560,22120,23415,22830,21850,21215,20960,21105,21000,20855,21440,22810,35517,35979,37346,30698,34412
0089_378.6,27600,27360,28335,28115,28350,27800,28050,32515,31615,31640,31685,32295,33580,35065,36820,36820,33397,35385,34323,34055,27103,24170,23405,23230,21560,22120,23415,22830,21850,21215,20960,21105,21000,20855,21440,22810,35517,35979,37346,30698,34412
0089_378.8,23400,23900,24550,24800,25300,25300,24800,,22205,23115,23055,24070,24280,25315,25770,26035,27362,29110,36678,36390,27885,22308,22308,24235,24160,26650,27025,25700,25545,25445,25365,24860,24240,24505,30375,31985,32849,33177,33774,30160,32693
0089_378.9,19000,19575,20100,20500,21000,21000,20500,,17075,17885,17840,18625,18790,19590,20320,19710,21543,22920,30520,30280,23205,21415,20830,20955,20890,21815,22120,21035,20910,20825,20765,20350,27670,27975,29180,30724,31554,31870,32444,28972,31406
0089_379.1,19000,19575,20100,20500,21000,21000,20500,,17075,17885,17840,18625,18790,19590,20320,19710,21543,22920,30520,30280,23205,21415,20830,20955,20890,21815,22120,21035,20910,20825,20765,20350,27670,27975,29180,30724,31554,31870,32444,28972,31406
0089_379.2,19000,19575,20100,20500,21000,21000,20500,,17075,17885,17840,18625,18790,19590,20320,19710,21543,22920,30520,30280,23205,21415,20830,20955,20890,21815,22120,21035,20910,20825,20765,20350,27670,27975,29180,30724,31554,31870,32444,28972,31406
0089_379.4,27000,27540,27950,27950,30500,29500,28500,22575,25285,28485,25870,27005,27355,28520,29585,27570,30135,37743,36988,36700,28125,25950,25950,26105,26025,27175,27555,26205,26050,25945,17465,17115,16690,16875,17600,18532,15685,15842,16127,14401,15611
0089_379.5,27000,27540,27950,27950,30500,29500,28500,22575,25285,28485,25870,27005,27355,28520,29585,27570,30135,37743,36988,36700,28125,25950,25950,26105,26025,27175,27555,26205,26050,25945,17465,17115,16690,16875,17600,18532,15685,15842,16127,14401,15611
0089_379.8,27000,27540,27950,27950,30500,29500,28500,22575,25285,28485,25870,27005,27355,28520,29585,27570,30135,37743,36988,36700,28125,25950,25950,26105,26025,27175,27555,26205,26050,25945,17465,17115,16690,16875,17600,18532,15685,15842,16127,14401,15611
0089_380.0,27000,27540,27950,27950,30500,29500,28500,22575,25285,28485,25870,27005,27355,28520,29585,27570,30135,37743,36988,36700,28125,25950,25950,26105,26025,27175,27555,26205,26050,25945,17465,17115,16690,16875,17600,18532,15685,15842,16127,14401,15611
0089_380.3,20500,21025,21350,21560,22200,22200,22400,17225,16360,17030,16985,17730,21015,21910,22725,22565,24663,26235,25447,25250,17225,18385,18385,18495,18435,19250,19520,18565,18455,18380,18325,17960,17510,17700,18465,19442,19967,20167,20530,18333,19873
0089_380.7,20500,21025,21350,21560,22200,22200,22400,17225,16360,17030,16985,17730,21015,21910,22725,22565,24663,26235,25447,25250,17225,18385,18385,18495,18435,19250,19520,18565,18455,18380,18325,17960,17510,17700,18465,19442,19967,20167,20530,18333,19873
0089_381.0,12800,13125,13325,13675,14075,14285,14495,,16190,16835,17990,18780,22350,23470,24345,24595,26882,28595,28015,27818,28005,29890,29890,30070,29975,31295,11270,10720,10655,10610,10580,10370,9225,9325,9730,10244,10521,10626,10817,9660,10471
0089_381.3,12800,13125,13325,13675,14075,14285,14495,,16190,16835,17990,18780,22350,23470,24345,24595,26882,28595,28015,27818,28005,29890,29890,30070,29975,31295,11270,10720,10655,10610,10580,10370,9225,9325,9730,10244,10521,10626,10817,9660,10471
0089_381.6,26300,26650,26975,27685,28385,28775,29165,24555,23315,25650,25585,26710,31275,33280,34520,35885,39225,41725,40890,40570,40840,43590,43590,43850,43710,45640,9835,9350,9295,9260,20940,20520,20005,20225,21095,22214,22814,23042,23457,20947,22707
0089_383.5,15290,15495,15650,16050,16670,17500,17935,,24770,25785,25720,26850,27085,28440,29500,28965,31658,32035,34660,34417,34645,36980,36980,37205,37085,38725,39265,37345,37120,36970,36860,36125,35220,35605,24640,25944,26644,26910,27394,24463,26518
0089_384.9,15290,15495,15650,16050,16670,17500,17935,,24770,25785,25720,26850,27085,28440,29500,28965,31658,32035,34660,34417,34645,36980,36980,37205,37085,38725,39265,37345,37120,36970,36860,36125,35220,35605,24640,25944,26644,26910,27394,24463,26518
0089_385.0,9215,9350,9450,9685,10050,10950,12090,,16625,17310,17265,18025,18185,18960,19670,20500,22345,21674,23450,23285,23440,25020,25020,25170,25090,26195,26560,25260,25110,25010,24935,24435,23825,24085,25120,26452,27166,27438,27932,24943,27038
0089_385.2,12610,12800,12925,13095,13450,14350,14635,14460,14735,15325,15285,15900,14275,14885,14770,15395,16472,15185,16430,16305,16415,17520,17520,17625,17570,18350,18605,17695,17590,17520,17465,17115,16690,16875,17600,18532,13812,13950,14201,12681,13746
0089_385.7,12610,12800,12925,13095,13450,14350,14635,14460,14735,15325,15285,15900,14275,14885,14770,15395,16472,15185,16430,16305,16415,17520,17520,17625,17570,18350,18605,17695,17590,17520,17465,17115,16690,16875,17600,18532,13812,13950,14201,12681,13746
0089_386.3,12610,12800,12925,13095,13450,14350,14635,14460,14735,15325,15285,15900,14275,14885,14770,15395,16472,15185,16430,16305,16415,17520,17520,17625,17570,18350,18605,17695,17590,17520,17465,17115,16690,16875,17600,18532,13812,13950,14201,12681,13746
0089_386.8,24565,24950,25100,25350,25895,26800,27705,27370,27890,29035,28960,30230,30495,31795,32970,33305,34970,34970,37835,37570,37820,40365,36750,36970,36850,19015,19280,18335,18225,18155,15600,15285,14905,15070,15715,16550,16997,17167,17476,15606,16917
0089_387.2,24565,24950,25100,25350,25895,26800,27705,27370,27890,29035,28960,30230,30495,31795,32970,33305,34970,34970,37835,37570,37820,40365,36750,36970,36850,19015,19280,18335,18225,18155,15600,15285,14905,15070,15715,16550,16997,17167,17476,15606,16917
0089_387.6,24565,24950,25100,25350,25895,26800,27705,27370,27890,29035,28960,30230,30495,31795,32970,33305,34970,34970,37835,37570,37820,40365,36750,36970,36850,19015,19280,18335,18225,18155,15600,15285,14905,15070,15715,16550,16997,17167,17476,15606,16917
0089_387.8,24565,24950,25100,25350,25895,26800,27705,27370,27890,29035,28960,30230,30495,31795,32970,33305,34970,34970,37835,37570,37820,40365,36750,36970,36850,19015,19280,18335,18225,18155,15600,15285,14905,15070,15715,16550,16997,17167,17476,15606,16917
0089_388.4,10515,10680,10725,10825,11025,11350,11675,11535,11755,14430,14395,15040,25515,26605,27595,27880,28545,28885,31250,31005,31210,33310,31200,31390,31290,18165,18420,17515,17410,17340,16270,15945,15545,15715,16390,17261,17727,17904,18226,16276,17643
0089_389.1,12320,12515,12515,9330,9500,9650,9800,9685,9870,10275,10250,10700,12300,12825,13305,18955,19405,19635,21598,21430,17465,18640,16530,16630,16580,17310,17550,16690,17245,17175,17125,16785,16365,16545,17255,18168,18659,21640,22030,19673,21326
0089_396.1,16100,16200,16660,19680,20760,20760,22050,23035,26705,27775,27775,28995,24955,27200,27715,28010,29970,30330,33363,31845,32055,34215,33605,33160,33115,33610,34080,32785,33015,33050,31135,31040,31850,33250,34880,36414,37397,37883,38262,33288,36883
0089_396.8,16100,16200,16660,19680,20760,20760,22050,23035,26705,27775,27775,28995,24955,27200,27715,28010,29970,30330,32815,31174,31380,33495,32825,32390,32345,32830,33290,32025,32250,32280,31345,31250,32065,33475,35115,36660,37650,38139,38520,33512,37131
0089_397.6,15900,16000,16550,16030,17110,17110,19500,21315,22380,23300,23240,24260,24475,26770,27275,27565,30045,30405,32895,30835,31040,33130,32540,32110,31355,31825,32270,33180,33415,33250,32285,32190,33025,34480,36165,42022,43157,43718,44155,38415,42564
0089_398.7,14300,14390,14990,13910,15020,15020,17500,21075,21605,21770,22405,24205,23515,24085,23775,24270,26454,26268,27581,29715,30290,32500,30365,29695,30505,33365,34535,32355,29180,30320,30425,31035,31160,32745,34450,36586,37391,38550,39591,34682,37561
0089_399.7,14300,14390,14990,13910,15020,15020,17500,21075,21605,21770,22405,24205,23515,24085,23775,24270,26454,26268,27581,29715,30290,32500,30370,29690,30500,33360,34530,32355,30640,31835,31070,31690,31815,33440,35180,37360,38182,39366,40429,35416,38356
0089_400.5,14300,14390,14990,13910,15020,15020,17500,21075,21605,21770,22405,24205,23515,24085,23775,24270,26454,26268,27581,29715,30290,32500,30370,29690,30500,33360,34530,32355,30640,31835,31070,31690,31815,33440,35180,37360,38182,39366,40429,35416,38356
0089_400.9,16000,16100,16735,15530,16675,16675,20710,21750,22295,23570,24255,26205,26150,26785,26785,27560,30905,28954,29810,29630,30205,32410,30285,29615,30425,37375,38685,32225,30520,31630,30870,31490,31615,33225,34955,37522,38347,39536,40603,35568,38520
0089_401.4,15535,15610,16245,15080,16190,16190,20210,20480,20995,22195,22840,24675,24620,25210,24885,25995,29150,29050,29905,29720,30295,32505,29254,28610,30500,33360,34525,32350,30620,31825,31060,31690,31825,33445,35185,37365,38179,39374,40456,35439,38374
0089_402.2,15535,15610,16245,15080,16190,16190,20210,20480,20995,22195,22840,24675,24620,25210,24885,25995,29150,29050,29905,29720,30295,32505,29254,28610,30500,33360,34525,32350,30620,31825,31060,31690,31825,33445,35185,37365,38179,39374,40456,35439,38374
0089_403.2,15535,15610,16245,15080,16190,16190,20210,20480,20995,22195,22840,24675,24620,25210,24885,25995,29150,29050,29905,29720,30295,32505,29254,28610,29555,32330,33460,31355,29690,30850,30110,30710,30835,32410,34095,36207,37004,38151,39181,34323,37172
0089_404.3,20900,21000,21840,20675,21800,21800,23940,24260,24870,31890,32815,35450,34660,35500,35045,36450,40875,40735,41935,41680,42490,45590,42595,41655,42805,46830,48470,45415,45735,43425,42380,43230,43405,45615,47990,47890,48944,50461,51823,45397,49165
0089_405.7,24870,24990,25830,24665,25790,25790,27930,28305,29015,33580,34560,37335,37335,38240,34910,36465,40890,42850,44115,43845,44695,47955,44805,43815,45010,49235,50960,47750,45215,46980,46255,47180,47370,49785,52375,55621,56845,58607,60189,52726,57102
0089_406.4,20525,20625,21325,23450,24575,24875,26800,26915,27430,29300,29650,34705,35525,37285,37285,37680,41071,42712,46210,45850,46155,49265,48385,47740,47670,33765,34240,49420,49765,49815,48370,38015,39005,40720,42715,44593,45797,46392,46856,40765,45168
0089_406.6,20525,20625,21325,23450,24575,24875,26800,26915,27430,29300,29650,34705,35525,37285,37285,37680,41071,42712,46210,45850,46155,49265,48385,47740,47670,33765,34240,49420,49765,49815,48370,38015,39005,40720,42715,44593,45797,46392,46856,40765,45168
0089_407.0,20525,20625,21325,23450,24575,24875,26800,26915,27430,29300,29650,34705,35525,37285,37285,37680,41071,42712,46210,45850,46155,49265,48385,47740,47670,33765,34240,49420,49765,49815,48370,38015,39005,40720,42715,44593,45797,46392,46856,40765,45168
0089_408.1,20525,20625,21325,23450,24575,24875,26800,26915,27430,29300,29650,34705,35525,37285,37285,37680,41071,42712,46210,45850,46155,49265,48385,47740,47670,33765,34240,39895,36645,36685,35620,35510,36435,38040,39900,41658,42783,43339,43772,38082,42195
0089_408.4,17900,17900,18500,8850,9275,9275,9600,9640,9430,9615,9730,10180,17865,18750,18325,19060,19993,20722,22420,22245,22395,23905,23480,23170,23140,23485,23815,23060,23225,23245,22570,22505,23090,24105,25285,26399,27112,27464,27739,24133,26739
0089_409.3,17900,17900,18500,8850,9275,9275,9600,9640,9430,9615,9730,10180,17865,18750,18325,19060,19993,20722,22420,22245,22395,23905,23480,23170,23140,23485,23815,23060,23225,23245,22570,22505,23090,24105,25285,26399,27112,27464,27739,24133,26739
0089_409.6,17900,17900,18500,8850,9275,9275,9600,9640,9430,9615,9730,10180,17865,18750,18325,19060,19993,20722,22420,22245,22395,23905,23480,23170,23140,23485,23815,23060,23225,23245,22570,22505,23090,24105,25285,26399,27112,27464,27739,24133,26739
0089_410.0,17900,17900,18500,8850,9275,9275,9600,9640,9430,9615,9730,10180,17865,18750,18325,19060,19993,20722,22420,22245,22395,23905,23480,23170,23140,23485,23815,23060,23225,23245,22570,22505,23090,24105,25285,26399,27112,27464,27739,24133,26739
0089_410.2,17900,17900,18500,8850,9275,9275,9600,9640,9430,9615,9730,10180,17865,18750,18325,19060,19993,20722,22420,22245,22395,23905,23480,23170,23140,23485,23815,23060,23225,23245,22570,22505,23090,24105,25285,26399,27112,27464,27739,24133,26739
0089_410.5,17900,17900,18500,17900,18750,18750,19075,18820,18975,19430,19690,20130,21925,22070,21560,23540,24710,25735,28005,27405,26940,30385,22745,20970,20710,22965,22875,21160,22005,21430,19930,23605,24105,25430,27030,28139,29096,29678,29945,27729,29670
0089_410.7,17900,17900,18500,17900,18750,18750,19075,18820,18975,19430,19690,20130,21925,22070,21560,23540,24710,25735,28005,27405,26940,30385,22745,20970,20710,22965,22875,21160,22005,21430,19930,23605,24105,25430,27030,28139,29096,29678,29945,27729,29670
0089_411.1,17900,17900,18500,17900,18750,18750,19075,18820,18975,19430,19690,20130,21925,22070,21560,23540,24710,25735,28005,27405,26940,30385,22745,20970,20710,22965,22875,21160,22005,21430,19930,23605,24105,25430,27030,28139,29096,29678,29945,27729,29670
0089_411.3,17900,17900,18500,17900,18750,18750,19075,18820,18975,19430,19690,20130,21925,22070,21560,23540,24710,25735,28005,27405,26940,30385,22745,20970,20710,22965,22875,21160,22005,21430,19930,23605,24105,25430,27030,28139,29096,29678,29945,27729,29670
0089_411.7,17900,17900,18500,17900,18750,18750,19075,18820,18975,19430,19690,20130,21925,22070,21560,23540,24710,25735,28005,27405,26940,30385,22745,20970,20710,22965,22875,21160,22005,21430,19930,23605,24105,25430,27030,28139,29096,29678,29945,27729,29670
0089_412.2,28415,26790,27915,26425,27350,25915,25285,24940,25145,25755,26095,26675,26765,26940,26295,25415,26660,27780,27780,29575,29070,32785,29525,27220,26880,27885,27770,25695,26720,26015,24190,23105,23580,24880,26425,27503,28449,27830,29285,27118,29026
0089_412.4,28415,26790,27915,26425,27350,25915,25285,24940,25145,25755,26095,26675,26765,26940,26295,25415,26660,27780,27780,29575,29070,32785,29525,27220,26880,27885,27770,25695,26720,26015,24190,23105,23580,24880,26425,27503,28449,27830,29285,27118,29026
0089_412.9,24000,24200,25325,24335,25095,24600,24105,24210,24675,25265,25565,26370,28160,29555,29555,29870,30580,31956,34672,34400,34630,36960,29385,27095,27070,27475,27860,26800,26990,27015,26235,26155,26835,28015,29390,30681,31509,31919,32238,28047,31076
0089_413.1,24000,24200,25325,24335,25095,24600,24105,24210,24675,25265,25565,26370,28160,29555,29555,29870,30580,31956,34672,34400,34630,36960,29385,27095,27070,27475,27860,26800,26990,27015,26235,26155,26835,28015,29390,30681,31509,31919,32238,28047,31076
0089_413.3,24000,24200,25325,24335,25095,24600,24105,24210,24675,25265,25565,26370,28160,29555,29555,29870,30580,31956,34672,34400,34630,36960,29385,27095,27070,27475,27860,26800,26990,27015,26235,26155,26835,28015,29390,30681,31509,31919,32238,28047,31076
0089_413.6,24000,24200,25325,24335,25095,24600,24105,24210,24675,25265,25565,26370,28160,29555,29555,29870,30580,31956,34672,34400,34630,36960,29385,27095,27070,27475,27860,26800,26990,27015,26235,26155,26835,28015,29390,30681,31509,31919,32238,28047,31076
0089_413.9,22000,22200,23000,22100,22860,22400,21940,22035,22460,23000,23275,24005,24125,25320,25800,26060,26680,27880,30249,30015,30215,32250,31675,31255,31210,31680,32125,30905,31120,31150,14105,14065,14430,15065,15805,16498,16943,17163,17335,15081,16710
0089_414.2,22000,22200,23000,22100,22860,22400,21940,22035,22460,23000,23275,24005,24125,25320,25800,26060,26680,27880,30249,30015,30215,32250,31675,31255,31210,31680,32125,30905,31120,31150,14105,14065,14430,15065,15805,16498,16943,17163,17335,15081,16710
0089_414.4,24100,24300,24900,24400,25160,25160,25160,,21250,21665,21925,22615,23845,25025,25115,25380,25985,27400,29645,29415,29610,31605,31040,30630,30600,31060,31495,30300,28495,28525,27700,27615,28335,29580,31030,32395,33270,33703,34040,29615,32813
0089_414.5,24100,24300,24900,24400,25160,25160,25160,,21250,21665,21925,22615,23845,25025,25115,25380,25985,27400,29645,29415,29610,31605,31040,30630,30600,31060,31495,30300,28495,28525,27700,27615,28335,29580,31030,32395,33270,33703,34040,29615,32813
0089_414.9,24100,24300,24900,24400,25160,25160,25160,,21250,21665,21925,22615,23845,25025,25115,25380,25985,27400,29645,29415,29610,31605,31040,30630,30600,31060,31495,30300,28495,28525,27700,27615,28335,29580,31030,32395,33270,33703,34040,29615,32813
0089_415.4,20000,20100,20600,20100,20725,20725,20725,20815,21215,21220,21475,22150,27410,28765,28850,29250,29945,30300,33095,32835,33055,35280,29015,28630,28605,29035,29440,28320,28520,28550,27720,27640,28355,29605,31055,32422,33297,33730,34067,29638,32839
0089_415.9,20000,20100,20600,20100,20725,20725,20725,20815,21215,21220,21475,22150,27410,28765,28850,29250,29945,30300,33095,32835,33055,35280,29015,28630,28605,29035,29440,28320,28520,28550,27720,27640,28355,29605,31055,32422,33297,33730,34067,29638,32839
0089_416.5,9500,9550,9650,9350,9640,9700,9760,6960,7095,7235,17595,18150,20870,21905,22320,22555,23095,23370,25285,25090,25260,26960,26480,26130,26095,26485,26855,25835,8515,8525,8605,8580,8800,9190,9640,10062,10334,10468,10573,9199,10192
0089_417.0,9500,9550,9650,9350,9640,9700,9760,6960,7095,7235,17595,18150,20870,21905,22320,22555,23095,23370,25285,25090,25260,26960,26480,26130,26095,26485,26855,25835,9420,9430,9155,11770,12075,12605,13225,13807,14180,14364,14508,12622,13985
0089_417.4,11300,11350,11350,11460,11750,11825,11900,7080,7220,7360,14930,15400,18835,19770,20145,20360,20845,21095,22825,22645,22795,24330,23895,23580,23550,23905,24240,23320,23480,23505,12730,12690,13020,13595,14260,14887,15289,15488,15643,13609,15079
0089_417.9,11300,11350,11350,11460,11750,11825,11900,7080,7220,7360,14930,15400,18835,19770,20145,20360,20845,21095,22825,22645,22795,24330,23895,23580,23550,23905,24240,23320,23480,23505,12730,12690,13020,13595,14260,14887,15289,15488,15643,13609,15079
0089_418.2,11300,11350,11350,11460,11750,11825,11900,7080,7220,7360,14930,15400,18835,19770,20145,20360,20845,21095,22825,22645,22795,24330,23895,23580,23550,23905,24240,23320,23480,23505,12730,12690,13020,13595,14260,14887,15289,15488,15643,13609,15079
0089_418.6,11300,11350,11350,11460,11750,11825,11900,7080,7220,7360,14930,15400,18835,19770,20145,20360,20845,21095,22825,22645,22795,24330,23895,23580,23550,23905,24240,23320,23480,23505,12730,12690,13020,13595,14260,14887,15289,15488,15643,13609,15079
0089_419.3,11300,11350,11350,11460,11750,11825,11900,7080,7220,7360,14930,15400,18835,19770,20145,20360,20845,21095,22825,22645,22795,24330,23895,23580,23550,23905,24240,23320,23480,23505,12730,12690,13020,13595,14260,14887,15289,15488,15643,13609,15079
